RERA,BHK_NO,SQUARE_FT,RESALE,POSTED_BY_mean_encoding,state_mean_encoding,TARGET(PRICE_IN_LACS)
1.0,2.0,1094.8905,1.0,124.25404,67.07472,51.0
1.0,3.0,1840.2251,1.0,54.96309,122.38669,85.0
0.0,3.0,1549.3582,1.0,124.25404,50.62677,35.0
0.0,2.0,749.8987,1.0,54.96309,123.53347,37.0
1.0,2.0,637.38824,0.0,124.25404,66.56202,32.8
1.0,2.0,637.38824,0.0,124.25404,66.49872,32.8
0.0,1.0,657.9909,1.0,54.96309,123.53347,45.0
1.0,2.0,795.1654,1.0,124.25404,122.38669,25.0
1.0,1.0,610.998,1.0,124.25404,123.53347,33.0
1.0,2.0,1082.9409,1.0,124.25404,123.53347,59.8
0.0,1.0,550.0046,1.0,124.25404,131.08112,60.0
0.0,3.0,1345.0546,1.0,124.25404,122.38669,280.0
1.0,2.0,1248.1482,1.0,124.25404,50.62677,33.7
0.0,2.0,1339.1416,0.0,52.147346,69.645454,41.5
0.0,2.0,795.1356,1.0,54.96309,122.38669,34.0
1.0,2.0,896.49554,1.0,124.25404,95.95461,22.0
0.0,3.0,1691.3098,1.0,124.25404,131.08112,970.0
1.0,2.0,1064.6959,1.0,124.25404,122.38669,170.0
0.0,3.0,1134.2155,1.0,124.25404,69.645454,30.0
0.0,3.0,1431.1565,1.0,124.25404,69.645454,87.0
1.0,3.0,1995.0125,1.0,54.96309,122.38669,120.0
0.0,1.0,730.0205,1.0,124.25404,123.53347,57.0
0.0,2.0,1025.1154,1.0,124.25404,123.53347,80.0
0.0,3.0,1685.2749,1.0,54.96309,131.08112,80.0
1.0,1.0,490.69904,0.0,124.25404,131.08112,110.0
0.0,2.0,883.0022,1.0,54.96309,103.99422,52.0
1.0,3.0,950.0,0.0,52.147346,44.959038,38.0
0.0,3.0,1750.1346,1.0,124.25404,81.30434,65.0
0.0,1.0,650.0459,1.0,124.25404,122.38669,42.5
1.0,2.0,639.0101,1.0,124.25404,123.53347,63.0
0.0,1.0,775.0117,1.0,124.25404,122.38669,99.0
0.0,2.0,871.7399,0.0,52.147346,103.99422,24.4
0.0,2.0,806.12244,1.0,124.25404,66.56202,39.5
0.0,2.0,806.12244,1.0,124.25404,66.49872,39.5
0.0,2.0,1100.0524,1.0,54.96309,103.99422,63.0
0.0,2.0,544.03265,1.0,54.96309,44.66028,32.0
0.0,1.0,675.2955,1.0,54.96309,44.66028,12.0
0.0,2.0,1099.7068,1.0,124.25404,44.66028,30.0
1.0,3.0,1550.1206,1.0,124.25404,123.53347,90.0
0.0,3.0,1868.8293,1.0,124.25404,95.95461,53.0
0.0,3.0,1694.9153,1.0,54.96309,103.99422,90.0
0.0,3.0,1480.9745,1.0,124.25404,58.577625,54.1
0.0,3.0,1350.2285,1.0,54.96309,50.62677,65.0
1.0,2.0,904.34784,1.0,124.25404,122.38669,130.0
1.0,2.0,2564.1025,1.0,124.25404,67.07472,58.0
0.0,2.0,962.99414,1.0,54.96309,122.38669,22.9
1.0,2.0,1326.0715,1.0,124.25404,66.56202,56.0
1.0,2.0,1326.0715,1.0,124.25404,66.49872,56.0
0.0,2.0,1200.0,1.0,54.96309,44.66028,42.0
0.0,2.0,1161.068,1.0,124.25404,103.99422,67.4
1.0,3.0,1600.0,0.0,52.147346,50.62677,60.0
1.0,3.0,3018.0137,1.0,124.25404,103.99422,320.0
0.0,3.0,1876.4073,1.0,54.96309,122.38669,75.0
1.0,6.0,10780.219,1.0,124.25404,44.66028,800.0
1.0,2.0,600.06,1.0,54.96309,122.38669,20.0
0.0,3.0,1252.4353,1.0,124.25404,131.08112,180.0
0.0,3.0,1180.1243,1.0,54.96309,69.645454,57.0
0.0,1.0,575.03503,1.0,124.25404,123.53347,82.0
0.0,2.0,995.12695,1.0,54.96309,58.577625,38.8
0.0,2.0,760.2154,1.0,54.96309,44.959038,24.0
0.0,2.0,760.2154,1.0,54.96309,123.53347,24.0
0.0,2.0,1020.0829,1.0,124.25404,103.99422,32.0
1.0,3.0,1814.059,1.0,124.25404,103.99422,120.0
0.0,4.0,1898.6637,1.0,124.25404,122.38669,68.2
0.0,2.0,882.6667,0.0,124.25404,122.38669,33.1
0.0,4.0,45.00019,1.0,54.96309,122.38669,23.5
0.0,2.0,849.85834,1.0,54.96309,131.08112,15.0
0.0,2.0,710.1086,1.0,54.96309,69.645454,17.0
0.0,2.0,1058.8574,1.0,124.25404,53.003433,36.7
0.0,3.0,1311.1111,1.0,124.25404,51.532967,59.0
0.0,3.0,1721.7391,1.0,124.25404,39.7671,29.7
0.0,2.0,1336.1278,1.0,124.25404,58.577625,51.0
0.0,2.0,988.0815,1.0,124.25404,66.56202,51.4
0.0,2.0,988.0815,1.0,124.25404,66.49872,51.4
1.0,3.0,2249.7786,1.0,124.25404,63.688946,76.2
1.0,3.0,1720.1835,1.0,124.25404,103.99422,75.0
0.0,2.0,750.075,1.0,54.96309,44.66028,25.0
0.0,2.0,1195.1511,1.0,124.25404,69.645454,70.0
0.0,2.0,1000.0,1.0,54.96309,44.66028,30.0
0.0,1.0,580.0215,1.0,54.96309,66.56202,27.0
0.0,1.0,580.0215,1.0,54.96309,66.49872,27.0
1.0,1.0,320.9629,0.0,124.25404,123.53347,28.8
0.0,2.0,1000.0,1.0,54.96309,49.17085,25.0
0.0,2.0,1248.1427,1.0,124.25404,95.95461,42.0
0.0,3.0,1355.1666,1.0,54.96309,103.99422,72.0
0.0,4.0,3115.265,1.0,124.25404,122.38669,320.0
1.0,2.0,1140.0966,1.0,124.25404,103.99422,47.2
0.0,1.0,317.00647,1.0,124.25404,131.08112,51.0
0.0,3.0,1220.2322,1.0,124.25404,66.56202,62.0
0.0,3.0,1220.2322,1.0,124.25404,66.49872,62.0
0.0,2.0,1000.0,1.0,54.96309,122.38669,32.0
0.0,3.0,1250.0,1.0,124.25404,122.38669,340.0
0.0,3.0,1400.0,1.0,124.25404,122.38669,73.5
0.0,2.0,1400.0374,1.0,54.96309,123.53347,75.0
1.0,3.0,1654.386,1.0,124.25404,122.38669,94.3
0.0,2.0,1115.1079,1.0,54.96309,131.08112,62.0
1.0,2.0,769.0515,1.0,124.25404,123.53347,99.0
1.0,3.0,919.9632,1.0,124.25404,123.53347,60.0
0.0,3.0,1232.2015,1.0,124.25404,122.38669,270.0
0.0,2.0,1050.061,1.0,124.25404,122.38669,86.0
0.0,3.0,1638.2592,1.0,124.25404,103.99422,99.0
0.0,2.0,778.5192,1.0,54.96309,53.003433,24.5
1.0,3.0,1500.0682,1.0,124.25404,123.53347,110.0
1.0,2.0,1110.2748,1.0,124.25404,95.95461,29.5
0.0,1.0,647.8999,1.0,124.25404,63.688946,14.5
0.0,1.0,647.8999,1.0,124.25404,63.688946,14.5
1.0,2.0,1414.9391,0.0,52.147346,33.095707,43.0
0.0,3.0,1360.0396,1.0,54.96309,131.08112,55.0
1.0,3.0,1730.2147,1.0,124.25404,122.38669,108.0
1.0,2.0,1267.7595,1.0,124.25404,131.08112,23.2
1.0,3.0,1882.9167,1.0,124.25404,122.38669,110.0
1.0,3.0,1882.9167,1.0,124.25404,122.38669,110.0
1.0,2.0,1152.9592,1.0,124.25404,131.08112,270.0
0.0,2.0,1322.6853,1.0,54.96309,58.909412,53.0
0.0,2.0,950.16895,1.0,124.25404,69.645454,45.0
1.0,2.0,846.3166,0.0,52.147346,66.56202,44.0
1.0,2.0,846.3166,0.0,52.147346,66.49872,44.0
0.0,1.0,680.0,1.0,124.25404,123.53347,51.0
1.0,2.0,1214.7985,1.0,124.25404,131.08112,110.0
0.0,3.0,1449.9121,1.0,54.96309,131.08112,33.0
0.0,2.0,649.9011,1.0,124.25404,69.645454,23.0
0.0,3.0,1513.7924,1.0,124.25404,131.08112,270.0
0.0,2.0,1100.0524,1.0,54.96309,44.66028,21.0
0.0,2.0,1500.2144,1.0,54.96309,103.99422,70.0
0.0,1.0,639.95276,1.0,124.25404,122.38669,65.0
1.0,2.0,1285.0468,1.0,124.25404,95.95461,33.0
0.0,2.0,1250.0,1.0,54.96309,49.225716,39.0
0.0,3.0,2235.3506,1.0,54.96309,103.99422,140.0
0.0,1.0,710.1012,1.0,124.25404,123.53347,40.0
1.0,3.0,1584.7496,0.0,52.147346,44.66028,34.5
0.0,3.0,1450.0396,1.0,124.25404,122.38669,110.0
0.0,2.0,1076.1367,1.0,54.96309,66.56202,40.0
0.0,2.0,1076.1367,1.0,54.96309,66.49872,40.0
1.0,4.0,3034.2437,1.0,124.25404,95.95461,210.0
1.0,3.0,1285.055,1.0,124.25404,122.38669,72.4
1.0,3.0,1995.0345,1.0,124.25404,131.08112,450.0
1.0,2.0,473.43503,0.0,124.25404,131.08112,45.0
0.0,4.0,1209.0483,1.0,124.25404,69.645454,93.0
1.0,2.0,900.27704,1.0,54.96309,44.66028,26.0
1.0,3.0,1468.1818,0.0,124.25404,95.95461,64.6
0.0,4.0,1997.749,1.0,54.96309,131.08112,35.5
0.0,3.0,1404.9329,1.0,54.96309,131.08112,45.0
1.0,3.0,1325.9668,1.0,124.25404,103.99422,72.0
0.0,3.0,15029.522,1.0,124.25404,131.08112,280.0
0.0,2.0,1275.0,1.0,124.25404,103.99422,51.0
0.0,3.0,1200.0828,1.0,124.25404,69.645454,58.0
0.0,2.0,900.07825,1.0,124.25404,122.38669,69.0
0.0,3.0,1823.154,1.0,124.25404,123.53347,160.0
0.0,3.0,2026.9292,1.0,124.25404,95.95461,140.0
1.0,3.0,1598.6227,1.0,54.96309,122.38669,130.0
0.0,1.0,446.09665,1.0,54.96309,131.08112,18.0
0.0,3.0,1509.7185,1.0,124.25404,103.99422,90.1
